id,"book_title","book_img_url","amazon_detail_url","publication_date","created_at","updated_at"
1,"嫌われる勇気―――自己啓発の源流「アドラー」の教え","https://images-fe.ssl-images-amazon.com/images/I/51sPGsTuF0L._AC_US160_.jpg","https://www.amazon.co.jp/%E5%AB%8C%E3%82%8F%E3%82%8C%E3%82%8B%E5%8B%87%E6%B0%97%E2%80%95%E2%80%95%E2%80%95%E8%87%AA%E5%B7%B1%E5%95%93%E7%99%BA%E3%81%AE%E6%BA%90%E6%B5%81%E3%80%8C%E3%82%A2%E3%83%89%E3%83%A9%E3%83%BC%E3%80%8D%E3%81%AE%E6%95%99%E3%81%88-%E5%B2%B8%E8%A6%8B-%E4%B8%80%E9%83%8E/dp/4478025819/ref=lp_492216_1_1?s=books&ie=UTF8&qid=1465462949&sr=1-1",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
2,"悩みどころと逃げどころ（小学館新書）","https://images-fe.ssl-images-amazon.com/images/I/51PytFZHhwL._AC_US160_.jpg","https://www.amazon.co.jp/%E6%82%A9%E3%81%BF%E3%81%A9%E3%81%93%E3%82%8D%E3%81%A8%E9%80%83%E3%81%92%E3%81%A9%E3%81%93%E3%82%8D%EF%BC%88%E5%B0%8F%E5%AD%A6%E9%A4%A8%E6%96%B0%E6%9B%B8%EF%BC%89-%E3%81%A1%E3%81%8D%E3%82%8A%E3%82%93-ebook/dp/B01GCEWQL8/ref=lp_492216_1_2?s=books&ie=UTF8&qid=1465462949&sr=1-2",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
3,"幸せになる勇気―――自己啓発の源流「アドラー」の教えII","https://images-fe.ssl-images-amazon.com/images/I/519tuiAlyOL._AC_US160_.jpg","https://www.amazon.co.jp/%E5%B9%B8%E3%81%9B%E3%81%AB%E3%81%AA%E3%82%8B%E5%8B%87%E6%B0%97%E2%80%95%E2%80%95%E2%80%95%E8%87%AA%E5%B7%B1%E5%95%93%E7%99%BA%E3%81%AE%E6%BA%90%E6%B5%81%E3%80%8C%E3%82%A2%E3%83%89%E3%83%A9%E3%83%BC%E3%80%8D%E3%81%AE%E6%95%99%E3%81%88II-%E5%B2%B8%E8%A6%8B-%E4%B8%80%E9%83%8E/dp/4478066116/ref=lp_492216_1_3?s=books&ie=UTF8&qid=1465462949&sr=1-3",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
4,"スパルタ婚活塾","https://images-fe.ssl-images-amazon.com/images/I/41JGN9DI8DL._AC_US160_.jpg","https://www.amazon.co.jp/%E3%82%B9%E3%83%91%E3%83%AB%E3%82%BF%E5%A9%9A%E6%B4%BB%E5%A1%BE-%E6%B0%B4%E9%87%8E%E6%95%AC%E4%B9%9F/dp/4905073073/ref=lp_492216_1_4?s=books&ie=UTF8&qid=1465462949&sr=1-4",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
5,"一流の育て方","https://images-fe.ssl-images-amazon.com/images/I/51wn7kpOQSL._AC_US160_.jpg","https://www.amazon.co.jp/%E4%B8%80%E6%B5%81%E3%81%AE%E8%82%B2%E3%81%A6%E6%96%B9-%E3%83%A0%E3%83%BC%E3%82%AE%E3%83%BC%E3%83%BB%E3%82%AD%E3%83%A0-ebook/dp/B01C3M53WW/ref=lp_492216_1_5?s=books&ie=UTF8&qid=1465462949&sr=1-5",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
6,"本気になればすべてが変わる―生きる技術をみがく70のヒント","https://images-fe.ssl-images-amazon.com/images/I/41lwp+Ju0hL._AC_US160_.jpg","https://www.amazon.co.jp/%E6%9C%AC%E6%B0%97%E3%81%AB%E3%81%AA%E3%82%8C%E3%81%B0%E3%81%99%E3%81%B9%E3%81%A6%E3%81%8C%E5%A4%89%E3%82%8F%E3%82%8B%E2%80%95%E7%94%9F%E3%81%8D%E3%82%8B%E6%8A%80%E8%A1%93%E3%82%92%E3%81%BF%E3%81%8C%E3%81%8F70%E3%81%AE%E3%83%92%E3%83%B3%E3%83%88-%E6%9D%BE%E5%B2%A1-%E4%BF%AE%E9%80%A0/dp/4163712100/ref=lp_492216_1_6?s=books&ie=UTF8&qid=1465462949&sr=1-6",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
7,"さあ、才能(じぶん)に目覚めよう―あなたの5つの強みを見出し、活かす","https://images-fe.ssl-images-amazon.com/images/I/51A7ZKPW20L._AC_US160_.jpg","https://www.amazon.co.jp/%E3%81%95%E3%81%82%E3%80%81%E6%89%8D%E8%83%BD-%E3%81%98%E3%81%B6%E3%82%93-%E3%81%AB%E7%9B%AE%E8%A6%9A%E3%82%81%E3%82%88%E3%81%86%E2%80%95%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE5%E3%81%A4%E3%81%AE%E5%BC%B7%E3%81%BF%E3%82%92%E8%A6%8B%E5%87%BA%E3%81%97%E3%80%81%E6%B4%BB%E3%81%8B%E3%81%99-%E3%83%9E%E3%83%BC%E3%82%AB%E3%82%B9-%E3%83%90%E3%83%83%E3%82%AD%E3%83%B3%E3%82%AC%E3%83%A0/dp/4532149479/ref=lp_492216_1_7?s=books&ie=UTF8&qid=1465462949&sr=1-7",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
8,"自分を操る超集中力","https://images-fe.ssl-images-amazon.com/images/I/51nKsabDJtL._AC_US160_.jpg","https://www.amazon.co.jp/%E8%87%AA%E5%88%86%E3%82%92%E6%93%8D%E3%82%8B%E8%B6%85%E9%9B%86%E4%B8%AD%E5%8A%9B-%E3%83%A1%E3%83%B3%E3%82%BF%E3%83%AA%E3%82%B9%E3%83%88%EF%BC%A4%EF%BD%81%EF%BD%89%EF%BC%A7%EF%BD%8F-ebook/dp/B01FLFFF2Q/ref=lp_492216_1_8?s=books&ie=UTF8&qid=1465462949&sr=1-8",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
9,"完訳 7つの習慣 人格主義の回復","https://images-fe.ssl-images-amazon.com/images/I/51KFFPUtAeL._AC_US160_.jpg","https://www.amazon.co.jp/%E5%AE%8C%E8%A8%B3-7%E3%81%A4%E3%81%AE%E7%BF%92%E6%85%A3-%E4%BA%BA%E6%A0%BC%E4%B8%BB%E7%BE%A9%E3%81%AE%E5%9B%9E%E5%BE%A9-%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%96%E3%83%B3%E3%83%BBR%E3%83%BB%E3%82%B3%E3%83%B4%E3%82%A3%E3%83%BC-ebook/dp/B00KFB5DJC/ref=lp_492216_1_9?s=books&ie=UTF8&qid=1465462949&sr=1-9",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
10,"田中角栄 100の言葉 ~日本人に贈る人生と仕事の心得","https://images-fe.ssl-images-amazon.com/images/I/514KTQgfFqL._AC_US160_.jpg","https://www.amazon.co.jp/%E7%94%B0%E4%B8%AD%E8%A7%92%E6%A0%84-100%E3%81%AE%E8%A8%80%E8%91%89-%7E%E6%97%A5%E6%9C%AC%E4%BA%BA%E3%81%AB%E8%B4%88%E3%82%8B%E4%BA%BA%E7%94%9F%E3%81%A8%E4%BB%95%E4%BA%8B%E3%81%AE%E5%BF%83%E5%BE%97-%E5%88%A5%E5%86%8A%E5%AE%9D%E5%B3%B6%E7%B7%A8%E9%9B%86%E9%83%A8/dp/4800237327/ref=lp_492216_1_10?s=books&ie=UTF8&qid=1465462949&sr=1-10",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
11,"大富豪が実践しているお金の哲学","https://images-fe.ssl-images-amazon.com/images/I/41HaQkDreSL._AC_US160_.jpg","https://www.amazon.co.jp/%E5%A4%A7%E5%AF%8C%E8%B1%AA%E3%81%8C%E5%AE%9F%E8%B7%B5%E3%81%97%E3%81%A6%E3%81%84%E3%82%8B%E3%81%8A%E9%87%91%E3%81%AE%E5%93%B2%E5%AD%A6-%E5%86%A8%E7%94%B0-%E5%92%8C%E6%88%90/dp/4844374753/ref=lp_492216_1_11?s=books&ie=UTF8&qid=1465462949&sr=1-11",NULL,"2016-06-09 09:02:30","2016-06-09 09:02:30"
